Group num: 0, TC(X;Y_j): 1.333
urge, 0.047, 1.000, 0.047
voice, 0.040, 1.000, 0.040
single, 0.033, 1.000, 0.033
park, 0.033, 1.000, 0.033
science, 0.028, 1.000, 0.028
generally, 0.026, 1.000, 0.026
Group num: 4, TC(X;Y_j): 1.551
state, 0.337, 1.000, 0.337
country, 0.317, 1.000, 0.317
point, 0.224, 1.000, 0.224
united, 0.208, 1.000, 0.208
look, 0.180, 1.000, 0.180
international, 0.163, 1.000, 0.163
partner, 0.135, 1.000, 0.135
building, 0.123, 1.000, 0.123
difficult, 0.114, 1.000, 0.114
effect, 0.110, 1.000, 0.110
believe, 0.110, 1.000, 0.110
condition, 0.104, 1.000, 0.104
type, 0.089, 1.000, 0.089
wanted, 0.089, 1.000, 0.089
barrier, 0.074, 1.000, 0.074
remember, 0.071, 1.000, 0.071
wage, 0.059, 1.000, 0.059
conflict, 0.059, 1.000, 0.059
supposed, 0.057, 1.000, 0.057
asked, 0.055, 1.000, 0.055
brought, 0.054, 1.000, 0.054
thought, 0.050, 1.000, 0.050
compete, 0.046, 1.000, 0.046
bringing, 0.046, 1.000, 0.046
floor, 0.040, 1.000, 0.040
extreme, 0.034, 1.000, 0.034
consulted, 0.033, 1.000, 0.033
perform, 0.022, 1.000, 0.022
hoping, 0.006, 1.000, 0.006
Group num: 5, TC(X;Y_j): 1.082
public, 0.219, 1.000, 0.219
hour, 0.187, 1.000, 0.187
committee, 0.170, 1.000, 0.170
related, 0.130, 1.000, 0.130
paid, 0.129, 1.000, 0.129
foreign, 0.114, 1.000, 0.114
protect, 0.101, 1.000, 0.101
matter, 0.090, 1.000, 0.090
temporary, 0.084, 1.000, 0.084
aspect, 0.084, 1.000, 0.084
regulatory, 0.084, 1.000, 0.084
rely, 0.082, 1.000, 0.082
principle, 0.068, 1.000, 0.068
consultant, 0.059, 1.000, 0.059
undertake, 0.055, 1.000, 0.055
sent, 0.054, 1.000, 0.054
larger, 0.054, 1.000, 0.054
encouraged, 0.040, 1.000, 0.040
alternative, 0.040, 1.000, 0.040
rushing, 0.033, 1.000, 0.033
accommodation, 0.033, 1.000, 0.033
mcmurray, 0.033, 1.000, 0.033
job, 0.033, 1.000, 0.033
fort, 0.033, 1.000, 0.033
unscrupulous, 0.026, 1.000, 0.026
fixed, 0.026, 1.000, 0.026
concurred, 0.026, 1.000, 0.026
opposite, 0.023, 1.000, 0.023
proceeding, 0.019, 1.000, 0.019
advocating, 0.019, 1.000, 0.019
master, 0.019, 1.000, 0.019
countless, 0.016, 1.000, 0.016
subjected, 0.012, 1.000, 0.012
troubled, 0.005, 1.000, 0.005
destiny, 0.005, 1.000, 0.005
questioner, 0.005, 1.000, 0.005
xa0hours, 0.005, 1.000, 0.005
convince, 0.004, 1.000, 0.004
Group num: 6, TC(X;Y_j): 1.495
intellectual, 0.128, 1.000, 0.128
settlement, 0.124, 1.000, 0.124
submission, 0.096, 1.000, 0.096
phase, 0.086, 1.000, 0.086
failure, 0.081, 1.000, 0.081
let, 0.081, 1.000, 0.081
explained, 0.076, 1.000, 0.076
email, 0.076, 1.000, 0.076
affect, 0.073, 1.000, 0.073
parliamentarian, 0.058, 1.000, 0.058
declaration, 0.056, 1.000, 0.056
combat, 0.056, 1.000, 0.056
division, 0.046, 1.000, 0.046
rejection, 0.046, 1.000, 0.046
extraordinary, 0.046, 1.000, 0.046
delivering, 0.046, 1.000, 0.046
secretariat, 0.036, 1.000, 0.036
forum, 0.036, 1.000, 0.036
hoped, 0.036, 1.000, 0.036
usually, 0.036, 1.000, 0.036
remedy, 0.036, 1.000, 0.036
camera, 0.036, 1.000, 0.036
predecessor, 0.036, 1.000, 0.036
pulse, 0.036, 1.000, 0.036
justify, 0.036, 1.000, 0.036
leaf, 0.036, 1.000, 0.036
remarkable, 0.036, 1.000, 0.036
ensures, 0.036, 1.000, 0.036
debt, 0.036, 1.000, 0.036
effectively, 0.036, 1.000, 0.036
instruction, 0.036, 1.000, 0.036
acceptable, 0.034, 1.000, 0.034
engagement, 0.027, 1.000, 0.027
existed, 0.027, 1.000, 0.027
reiterate, 0.027, 1.000, 0.027
dealt, 0.027, 1.000, 0.027
screening, 0.027, 1.000, 0.027
delayed, 0.027, 1.000, 0.027
disproportionately, 0.027, 1.000, 0.027
justifiable, 0.027, 1.000, 0.027
pork, 0.027, 1.000, 0.027
intervene, 0.027, 1.000, 0.027
involve, 0.027, 1.000, 0.027
tabling, 0.027, 1.000, 0.027
testament, 0.027, 1.000, 0.027
emphasize, 0.027, 1.000, 0.027
guessing, 0.027, 1.000, 0.027
typically, 0.027, 1.000, 0.027
emphasized, 0.027, 1.000, 0.027
underpinning, 0.027, 1.000, 0.027
interaction, 0.027, 1.000, 0.027
thanking, 0.017, 1.000, 0.017
sub, 0.017, 1.000, 0.017
berry, 0.017, 1.000, 0.017
capable, 0.017, 1.000, 0.017
cold, 0.017, 1.000, 0.017
unaffordable, 0.017, 1.000, 0.017
ratio, 0.017, 1.000, 0.017
xa0years, 0.017, 1.000, 0.017
employees, 0.017, 1.000, 0.017
partisanship, 0.017, 1.000, 0.017
overturned, 0.017, 1.000, 0.017
finger, 0.017, 1.000, 0.017
overturn, 0.017, 1.000, 0.017
eliminates, 0.017, 1.000, 0.017
deaf, 0.008, 1.000, 0.008
growers, 0.008, 1.000, 0.008
embedded, 0.008, 1.000, 0.008
intact, 0.008, 1.000, 0.008
admissible, 0.008, 1.000, 0.008
stereotypical, 0.008, 1.000, 0.008
comfort, 0.008, 1.000, 0.008
shefford, 0.008, 1.000, 0.008
arises, 0.008, 1.000, 0.008
outmoded, 0.008, 1.000, 0.008
brilliant, 0.008, 1.000, 0.008
deafness, 0.008, 1.000, 0.008
discrepancy, 0.008, 1.000, 0.008
pluralistic, 0.008, 1.000, 0.008
Group num: 7, TC(X;Y_j): 0.436
general, 0.132, 1.000, 0.132
liberal, 0.130, 1.000, 0.130
known, 0.112, 1.000, 0.112
broken, 0.083, 1.000, 0.083
abuse, 0.077, 1.000, 0.077
exploitation, 0.075, 1.000, 0.075
injustice, 0.067, 1.000, 0.067
violence, 0.059, 1.000, 0.059
integrity, 0.059, 1.000, 0.059
worse, 0.056, 1.000, 0.056
auditor, 0.043, 1.000, 0.043
mobility, 0.043, 1.000, 0.043
abused, 0.028, 1.000, 0.028
missing, 0.028, 1.000, 0.028
guess, 0.021, 1.000, 0.021
technician, 0.021, 1.000, 0.021
overhaul, 0.021, 1.000, 0.021
rhetoric, 0.019, 1.000, 0.019
entrench, 0.013, 1.000, 0.013
necessarily, 0.013, 1.000, 0.013
luck, 0.013, 1.000, 0.013
cancel, 0.013, 1.000, 0.013
apologizes, 0.006, 1.000, 0.006
normal, 0.006, 1.000, 0.006
clientele, 0.006, 1.000, 0.006
improper, 0.006, 1.000, 0.006
humane, 0.006, 1.000, 0.006
envisioned, 0.006, 1.000, 0.006
indicates, 0.006, 1.000, 0.006
Group num: 8, TC(X;Y_j): 2.413
remains, 0.156, 1.000, 0.156
welcoming, 0.089, 1.000, 0.089
demonstrate, 0.079, 1.000, 0.079
prosperous, 0.058, 1.000, 0.058
enterprise, 0.058, 1.000, 0.058
returned, 0.048, 1.000, 0.048
